IdPassageiro,Idade
786,25.0
787,18.0
788,8.0
789,1.0
790,46.0
792,16.0
795,25.0
796,39.0
797,49.0
798,31.0
799,30.0
800,30.0
801,34.0
802,31.0
803,11.0
804,0.42
805,27.0
806,31.0
807,39.0
808,18.0
809,39.0
810,33.0
811,26.0
812,39.0
813,35.0
814,6.0
815,30.5
817,23.0
818,31.0
819,43.0
820,10.0
821,52.0
822,27.0
823,38.0
824,27.0
825,2.0
828,1.0
830,62.0
831,15.0
832,0.83
834,23.0
835,18.0
836,39.0
837,21.0
839,32.0
841,20.0
842,16.0
843,30.0
844,34.5
845,17.0
846,42.0
848,35.0
849,28.0
851,4.0
852,74.0
853,9.0
854,16.0
855,44.0
856,18.0
857,45.0
858,51.0
859,24.0
861,41.0
862,21.0
863,48.0
865,24.0
866,42.0
867,27.0
868,31.0
870,4.0
871,26.0
872,47.0
873,33.0
874,47.0
875,28.0
876,15.0
877,20.0
878,19.0
880,56.0
881,25.0
882,33.0
883,22.0
884,28.0
885,25.0
886,39.0
887,27.0
888,19.0
890,26.0
891,32.0
892,34.5
893,47.0
894,62.0
895,27.0
896,22.0
897,14.0
898,30.0
899,26.0
900,18.0
901,21.0
903,46.0
904,23.0
905,63.0
906,47.0
907,24.0
908,35.0
909,21.0
910,27.0
911,45.0
912,55.0
913,9.0
915,21.0
916,48.0
917,50.0
918,22.0
919,22.5
920,41.0
922,50.0
923,24.0
924,33.0
926,30.0
927,18.5
929,21.0
930,25.0
932,39.0
934,41.0
935,30.0
936,45.0
937,25.0
938,45.0
940,60.0
941,36.0
942,24.0
943,27.0
944,20.0
945,28.0
947,10.0
948,35.0
949,25.0
951,36.0
952,17.0
953,32.0
954,18.0
955,22.0
956,13.0
958,18.0
959,47.0
960,31.0
961,60.0
962,24.0
963,21.0
964,29.0
965,28.5
966,35.0
967,32.5
969,55.0
970,30.0
971,24.0
972,6.0
973,67.0
974,49.0
978,27.0
979,18.0
981,2.0
982,22.0
984,27.0
986,25.0
987,25.0
988,76.0
989,29.0
990,20.0
991,33.0
992,43.0
993,27.0
995,26.0
996,16.0
997,28.0
998,21.0
1001,18.5
1002,41.0
1004,36.0
1005,18.5
1006,63.0
1007,18.0
1009,1.0
1010,36.0
1011,29.0
1012,12.0
1014,35.0
1015,28.0
1017,17.0
1018,22.0
1020,42.0
1021,24.0
1022,32.0
1023,53.0
1026,43.0
1027,24.0
1028,26.5
1029,26.0
1030,23.0
1031,40.0
1032,10.0
1033,33.0
1034,61.0
1035,28.0
1036,42.0
1037,31.0
1039,22.0
1041,30.0
1042,23.0
1044,60.5
1045,36.0
1046,13.0
1047,24.0
1048,29.0
1049,23.0
1050,42.0
1051,26.0
1053,7.0
1054,26.0
1056,41.0
1057,26.0
1058,48.0
1059,18.0
1061,22.0
1063,27.0
1064,23.0
1066,40.0
1067,15.0
1068,20.0
1069,54.0
1070,36.0
1071,64.0
1072,30.0
1073,37.0
1074,18.0
1076,27.0
1077,40.0
1078,21.0
1079,17.0
1081,40.0
1082,34.0
1084,11.5
1085,61.0
1086,8.0
1087,33.0
1088,6.0
1089,18.0
1090,23.0
1093,0.33
1094,47.0
1095,8.0
1096,25.0
1098,35.0
1099,24.0
1100,33.0
1101,25.0
1102,32.0
1104,17.0
1105,60.0
1106,38.0
1107,42.0
1109,57.0
1110,50.0
1112,30.0
1113,21.0
1114,22.0
1115,21.0
1116,53.0
1118,23.0
1120,40.5
1121,36.0
1122,14.0
1123,21.0
1124,21.0
1126,39.0
1127,20.0
1128,64.0
1129,20.0
1130,18.0
1131,48.0
1132,55.0
1133,45.0
1134,45.0
1137,41.0
1138,22.0
1139,42.0
1140,29.0
1142,0.92
1143,20.0
1144,27.0
1145,24.0
1146,32.5
1149,28.0
1150,19.0
1151,21.0
1152,36.5
1153,21.0
1154,29.0
1155,1.0
1156,30.0
1161,17.0
1162,46.0
1164,26.0
1167,20.0
1168,28.0
1169,40.0
1170,30.0
1171,22.0
1172,23.0
1173,0.75
1175,9.0
1176,2.0
1177,36.0
1179,24.0
1183,30.0
1185,53.0
1186,36.0
1187,26.0
1188,1.0
1190,30.0
1191,29.0
1192,32.0
1194,43.0
1195,24.0
1197,64.0
1198,30.0
1199,0.83
1200,55.0
1201,45.0
1202,18.0
1203,22.0
1205,37.0
1206,55.0
1207,17.0
1208,57.0
1209,19.0
1210,27.0
1211,22.0
1212,26.0
1213,25.0
1214,26.0
1215,33.0
1216,39.0
1217,23.0
1218,12.0
1219,46.0
1220,29.0
1221,21.0
1222,48.0
1223,39.0
1225,19.0
1226,27.0
1227,30.0
1228,32.0
1229,39.0
1230,25.0
1232,18.0
1233,32.0
1235,58.0
1237,16.0
1238,26.0
1239,38.0
1240,24.0
1241,31.0
1242,45.0
1243,25.0
1244,18.0
1245,49.0
1246,0.17
1247,50.0
1248,59.0
1251,30.0
1252,14.5
1253,24.0
1254,31.0
1255,27.0
1256,25.0
1259,22.0
1260,45.0
1261,29.0
1262,21.0
1263,31.0
1264,49.0
1265,44.0
1266,54.0
1267,45.0
1268,22.0
1269,21.0
1270,55.0
1271,5.0
1273,26.0
1275,19.0
1277,24.0
1278,24.0
1279,57.0
1280,21.0
1281,6.0
1282,23.0
1283,51.0
1284,13.0
1285,47.0
1286,29.0
1287,18.0
1288,24.0
1289,48.0
1290,22.0
1291,31.0
1292,30.0
1293,38.0
1294,22.0
1295,17.0
1296,43.0
1297,20.0
1298,23.0
1299,50.0
1301,3.0
1303,37.0
1304,28.0
1306,39.0
1307,38.5
6,32.8132795062361
18,32.04278170985023
20,28.92213951615083
27,27.54498657174753
29,26.046718452759713
30,29.100423542285665
32,39.4620303358657
33,26.04909825101263
37,27.54490920988482
43,27.532630777103144
46,29.09758325675471
47,32.20534133089004
48,26.04909825101263
49,26.322280273747513
56,42.17585044127583
65,40.751346581426674
66,2.10680512949984
77,29.100423542285665
78,29.09758325675471
83,26.048407520095566
88,29.09758325675471
96,29.09758325675471
102,29.100423542285665
108,29.10264861681316
110,25.268784951903044
122,29.09758325675471
127,32.82632603179755
129,7.236282369003071
141,32.11850638028355
155,29.11116763145691
159,29.086301318442715
160,0.9987596111715575
167,44.86587626806792
169,42.35221706876541
177,2.529866828447531
181,6.259245481277361
182,30.437228987868373
186,41.90876782001223
187,33.58249427529334
197,32.82632603179755
199,26.04909825101263
202,27.48302131357654
215,32.34809238708266
224,29.100423542285665
230,7.790352698553335
236,22.329565221530604
241,20.156366961031246
242,25.428113550105124
251,29.112318849652013
257,41.18027885848147
261,32.82632603179755
265,26.04909825101263
271,42.25873815132316
275,26.04909825101263
278,32.2822350944314
285,42.35083560693129
296,40.751346581426674
299,42.26794789688397
301,26.04909825101263
302,31.584356629982537
304,29.000743526000726
305,29.09758325675471
307,32.44230787023938
325,27.48302131357654
331,24.807128849197618
335,41.26689668737647
336,29.100423542285665
348,29.848225652914014
352,42.185060186836644
355,27.54498657174753
359,26.046718452759713
360,26.046718452759713
365,32.20534133089004
368,28.922062154288117
369,26.04909825101263
376,40.64732458954245
385,29.100423542285665
389,32.82670915721288
410,7.790352698553335
411,29.100423542285665
412,32.842750692030705
414,32.2822350944314
416,30.47473620115801
421,27.532630777103144
426,29.112318849652013
429,32.82632603179755
432,29.848225652914014
445,29.09643203855961
452,28.399850062190716
455,29.09758325675471
458,42.7733808174866
460,32.82632603179755
465,29.09758325675471
467,32.2822350944314
469,32.82678651907559
471,29.112318849652013
476,41.87192883776897
482,32.2822350944314
486,7.790352698553335
491,28.399850062190716
496,27.411752866617462
498,28.967725844347235
503,26.051323325540125
508,42.3407048868144
512,29.09758325675471
518,32.524246377402854
523,27.54498657174753
525,27.54490920988482
528,38.74468237073191
532,27.54490920988482
534,31.987497749680976
539,28.97877753902021
548,30.459102133575307
553,32.82486720810072
558,37.07105489346273
561,32.82632603179755
564,29.09758325675471
565,22.32035547596979
569,27.54490920988482
574,26.04909825101263
579,28.310672166305864
585,27.51758757870411
590,29.09758325675471
594,14.946656118019455
597,24.897164106632758
599,27.54498657174753
602,29.100423542285665
603,42.048755952536595
612,29.116002747876337
613,25.428113550105124
614,32.82632603179755
630,32.82663363729928
634,42.82974237609361
640,28.471072708510714
644,28.205236273774556
649,29.106793002315523
651,29.100423542285665
654,26.047639427315794
657,29.100423542285665
668,29.10264861681316
670,42.77084813745738
675,32.2822350944314
681,26.041960698203
693,28.205236273774556
698,26.049405856514362
710,2.10680512949984
712,42.3407048868144
719,32.683574975604934
728,26.049328494651647
733,32.2822350944314
739,29.100423542285665
740,29.100423542285665
741,42.277157642444784
761,28.97877753902021
767,49.6461162105523
769,32.04601273268796
774,27.54498657174753
777,32.82632603179755
779,32.82655627543657
784,31.679795367287827
791,32.82632603179755
793,6.259245481277361
794,40.696548595339834
816,42.82974237609361
826,32.84106162469485
827,28.205236273774556
829,32.82632603179755
833,27.54490920988482
838,29.09758325675471
840,40.714890724598746
847,27.48302131357654
850,40.519614889799755
860,27.54490920988482
864,6.259245481277361
869,29.07087499462835
879,29.100423542285665
889,10.456019534988648
902,29.100423542285665
914,43.62330505744304
921,26.322280273747513
925,33.05694831169112
928,22.32035547596979
931,28.205236273774556
933,42.3407048868144
939,32.82632603179755
946,30.427481393166808
950,28.471072708510714
957,33.27257872528051
968,29.09758325675471
975,29.100423542285665
976,35.80821058536002
977,26.933594741816165
980,34.20347897620085
983,29.10264861681316
985,29.09758325675471
994,32.82632603179755
999,32.82632603179755
1000,29.085380343886634
1003,26.04856040187188
1008,27.55949192100581
1013,32.34809238708266
1016,32.82632603179755
1019,24.807128849197618
1024,36.8421412871821
1025,27.081258276290917
1038,41.874461517798196
1040,42.3407048868144
1043,27.532630777103144
1052,26.049405856514362
1055,29.11692372243242
1060,42.128499525829966
1062,29.106793002315523
1065,27.54490920988482
1075,32.82632603179755
1080,6.259245481277361
1083,42.35083560693129
1091,30.473584982962905
1092,25.906347194820015
1097,40.78780059630549
1103,29.116002747876337
1108,26.046718452759713
1111,29.09758325675471
1117,32.11850638028355
1119,26.04909825101263
1125,32.82394623354464
1135,29.100576424061977
1136,5.195533664882845
1141,28.310747686219464
1147,29.106793002315523
1148,32.82632603179755
1157,29.100423542285665
1158,42.82974237609361
1159,29.106793002315523
1160,22.32035547596979
1163,32.82632603179755
1165,25.428113550105124
1166,27.54498657174753
1174,26.04909825101263
1178,29.112318849652013
1180,27.54490920988482
1181,29.09758325675471
1182,42.10033052767716
1184,27.54490920988482
1189,26.322280273747513
1193,30.437306349731088
1196,26.04909825101263
1204,29.106332515037483
1224,27.54498657174753
1231,1.0606475074798354
1234,42.53502754140455
1236,3.688335151160878
1249,29.100729305838286
1250,32.82632603179755
1257,43.91218048580785
1258,26.933519221902568
1272,32.82632603179755
1274,30.355930483423506
1276,32.04508414624044
1300,26.04963610015338
1302,26.04909825101263
1305,29.09758325675471
1308,29.09758325675471
1309,1.9757964988972603
